	locus_tag	product
569	Blon_0596	hypothetical protein
570	Blon_0597	SNF2-related protein
571	Blon_0598	hypothetical protein
572	Blon_0599	hypothetical protein
573	Blon_0600	T/G mismatch-specific endonuclease (EC 3.1.-.-)
574	Blon_0601	oxidoreductase domain protein
575	Blon_0602	aminotransferase, class I and II
576	Blon_0605	Endonuclease/exonuclease/phosphatase
577	Blon_0606	nucleoside 2-deoxyribosyltransferase
578	Blon_0607	AMP-dependent synthetase and ligase
579	Blon_0608	NAD(P)H dehydrogenase (quinone)
580	Blon_0609	hypothetical protein
581	Blon_0610	Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)
582	Blon_0611	Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)
583	Blon_0612	ribonucleoside-triphosphate reductase class III catalytic subunit (EC 1.17.4.2)
584	Blon_0613	ribonucleoside-triphosphate reductase class III activase subunit (EC 1.17.4.2)
585	Blon_0614	putative CoA-substrate-specific enzyme activase
586	Blon_0615	Resolvase, N-terminal domain protein
587	Blon_0616	transposase, IS605 OrfB family
588	Blon_0617	glutamate--cysteine ligase, GCS2
589	Blon_0619	DNA polymerase, beta domain protein region
590	Blon_0620	nucleotidyltransferase substrate binding protein, HI0074 family
591	Blon_0621	Glucan 1,3-beta-glucosidase
592	Blon_0622	Integrase, catalytic region
593	Blon_0623	hypothetical protein
594	Blon_0624	transcriptional regulator, TetR family
595	Blon_0625	Beta-glucosidase
596	Blon_0626	nucleoside-diphosphate-sugar epimerase and GAF domain protein
597	Blon_0627	membrane protein
598	Blon_0628	membrane protein
599	Blon_0629	glycosyl transferase, group 1
600	Blon_0630	hypothetical protein
601	Blon_0631	membrane lipoprotein lipid attachment site
602	Blon_0632	hypothetical protein
603	Blon_0633	hypothetical protein
604	Blon_0634	diguanylate cyclase/phosphodiesterase
605	Blon_0635	ABC transporter related
606	Blon_0636	ABC transporter related
607	Blon_0637	transcriptional regulator, LacI family
608	Blon_0638	Purine nucleosidase
609	Blon_0639	major facilitator superfamily MFS_1
610	Blon_0640	PfkB domain protein
611	Blon_0641	transcriptional regulator, LacI family
612	Blon_0642	transcriptional regulator, GntR family
613	Blon_0643	hypothetical protein
614	Blon_0644	ROK family protein
615	Blon_0645	N-acylglucosamine-6-phosphate 2-epimerase
616	Blon_0646	glycosyl hydrolase, BNR repeat-containing protein
617	Blon_0647	extracellular solute-binding protein, family 5
618	Blon_0648	binding-protein-dependent transport systems inner membrane component
619	Blon_0649	oligopeptide/dipeptide ABC transporter, ATPase subunit
620	Blon_0650	ABC transporter related
621	Blon_0651	dihydrodipicolinate synthetase
622	Blon_0652	Aspartate transaminase
623	Blon_0653	Isoleucyl-tRNA synthetase (EC 6.1.1.5)
624	Blon_0654	binding-protein-dependent transport systems inner membrane component
625	Blon_0655	ABC-type spermidine/putrescine transport system permease component II-like protein
626	Blon_0656	ABC transporter related
627	Blon_0657	type I phosphodiesterase/nucleotide pyrophosphatase
628	Blon_0658	putative transposase
629	Blon_0659	IS3 family transposase
630	Blon_0660	hypothetical protein
631	Blon_0661	Na-galactoside symporter
632	Blon_0662	hypothetical protein
633	Blon_0664	transcriptional regulator, LacI family
634	Blon_0665	transcriptional regulator, LacI family
635	Blon_0666	6-phosphogluconate dehydrogenase (decarboxylating) (EC 1.1.1.44)/gluconate kinase, SKI family (EC 2.7.1.12)
636	Blon_0667	D-mannonate dehydratase (EC 4.2.1.8)
637	Blon_0668	Mannitol dehydrogenase, C-terminal domain protein
638	Blon_0669	Glucuronate isomerase
639	Blon_0670	hypothetical protein
640	Blon_0671	transposase IS3/IS911 family protein
641	Blon_0672	Integrase, catalytic region
642	Blon_0674	putative transposase
643	Blon_0675	IstB domain protein ATP-binding protein
644	Blon_0676	hypothetical protein
645	Blon_0677	hypothetical protein
646	Blon_0679	histone family protein DNA-binding protein
647	Blon_0680	narrowly conserved hypothetical membrane protein
648	Blon_0681	Adenylosuccinate lyase (EC 4.3.2.2)
649	Blon_0682	hypothetical protein
650	Blon_0683	hypothetical protein
651	Blon_0684	hypothetical protein
652	Blon_0685	cell surface elastin binding protein EbpS
653	Blon_0686	von Willebrand factor, type A
654	Blon_0687	hypothetical protein
655	Blon_0688	hypothetical protein
656	Blon_0689	protein of unknown function DUF58
657	Blon_0690	ATPase associated with various cellular activities, AAA_3
658	Blon_0691	Uracil-DNA glycosylase (EC 3.2.2.-)
659	Blon_0692	hypothetical protein
660	Blon_0693	putative cold-shock DNA-binding domain protein
661	Blon_0694	chaperonin GroEL
662	Blon_0695	protein of unknown function DUF909
663	Blon_0696	hypothetical protein
664	Blon_0697	two component transcriptional regulator, winged helix family
665	Blon_0698	integral membrane sensor signal transduction histidine kinase
666	Blon_0699	cold-shock DNA-binding protein family
667	Blon_0700	narrowly conserved hypothetical protein
668	Blon_0701	UspA domain protein
669	Blon_0702	ATPase AAA-2 domain protein
670	Blon_0703	metallophosphoesterase
671	Blon_0704	protein of unknown function DUF349
672	Blon_0705	histidyl-tRNA synthetase (EC 6.1.1.21)
673	Blon_0706	aspartyl-tRNA synthetase (EC 6.1.1.12)
674	Blon_0707	narrowly conserved hypothetical protein
675	Blon_0708	hypothetical protein
676	Blon_0709	amino acid ABC transporter ATP-binding protein, PAAT family (TC 3.A.1.3.-)
677	Blon_0710	amino acid ABC transporter substrate-binding protein, PAAT family (TC 3.A.1.3.-)
678	Blon_0711	amino acid ABC transporter membrane protein 1, PAAT family (TC 3.A.1.3.-)
679	Blon_0712	amino acid ABC transporter membrane protein 2, PAAT family (TC 3.A.1.3.-)
680	Blon_0713	conserved hypothetical secreted protein
681	Blon_0714	protein of unknown function DUF344
682	Blon_0715	DEAD/DEAH box helicase domain protein
683	Blon_0716	Recombination protein MgsA
684	Blon_0717	major facilitator superfamily MFS_1
685	Blon_0718	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding
686	Blon_0719	TM2 domain containing protein+B7201
687	Blon_0720	putative membrane protein
688	Blon_0721	protein of unknown function UPF0044
689	Blon_0722	ABC transporter related
690	Blon_0723	narrowly conserved hypothetical protein
691	Blon_0724	glycosyl transferase, family 2
692	Blon_0725	Polyphosphate glucokinase (EC 2.7.1.63)
693	Blon_0726	aminotransferase, class I and II
694	Blon_0727	ABC transporter related
695	Blon_0728	hypothetical protein
696	Blon_0729	hypothetical protein
697	Blon_0730	DNA ligase, NAD-dependent
698	Blon_0731	protein of unknown function DUF59
699	Blon_0732	glycoside hydrolase, family 20
700	Blon_0733	conserved hypothetical protein 245
701	Blon_0734	ABC transporter related
702	Blon_0735	translation elongation factor P (EF-P)
703	Blon_0736	NusB antitermination factor
704	Blon_0737	carbamoyl-phosphate synthase small subunit
705	Blon_0738	carbamoyl-phosphate synthase large subunit
706	Blon_0739	orotidine-5'-phosphate decarboxylase (EC 4.1.1.23)
707	Blon_0740	guanylate kinase (EC 2.7.4.8)
708	Blon_0741	DNA polymerase III, epsilon subunit
709	Blon_0742	small GTP-binding protein
710	Blon_0743	phospholipase/Carboxylesterase
711	Blon_0744	amino acid ABC transporter membrane protein 1, PAAT family (TC 3.A.1.3.-)
712	Blon_0745	amino acid ABC transporter membrane protein 2, PAAT family (TC 3.A.1.3.-)
713	Blon_0746	amino acid ABC transporter ATP-binding protein, PAAT family (TC 3.A.1.3.-)
714	Blon_0747	amino acid ABC transporter substrate-binding protein, PAAT family (TC 3.A.1.3.-)
715	Blon_0748	Cystathionine gamma-synthase
716	Blon_0749	Glutaredoxin-like protein
717	Blon_0750	hypothetical protein
718	Blon_0751	NADP oxidoreductase, coenzyme F420-dependent
719	Blon_0752	uroporphyrinogen decarboxylase
720	Blon_0753	amino acid/amide ABC transporter substrate-binding protein, HAAT family (TC 3.A.1.4.-)
721	Blon_0754	amino acid/amide ABC transporter membrane protein 1, HAAT family (TC 3.A.1.4.-)/amino acid/amide ABC transporter membrane protein 2, HAAT family (TC 3.A.1.4.-)
722	Blon_0755	ABC transporter related
723	Blon_0756	amidohydrolase
724	Blon_0757	Cysteine synthase
725	Blon_0758	Glutaredoxin-like protein
726	Blon_0759	amino acid ABC transporter ATP-binding protein, PAAT family (TC 3.A.1.3.-)
727	Blon_0760	amino acid ABC transporter substrate-binding protein, PAAT family (TC 3.A.1.3.-)
728	Blon_0761	amino acid ABC transporter membrane protein, PAAT family (TC 3.A.1.3.-)
729	Blon_0762	band 7 protein
730	Blon_0763	Integrase, catalytic region
731	Blon_0764	ABC transporter related
732	Blon_0765	hypothetical protein
733	Blon_0767	Patatin
734	Blon_0768	glutamate racemase (EC 5.1.1.3)
735	Blon_0769	diaminopimelate epimerase (EC 5.1.1.7)
736	Blon_0770	Vitamin K epoxide reductase
737	Blon_0771	PHP C-terminal domain protein
738	Blon_0772	hypothetical protein
739	Blon_0773	hypothetical protein
740	Blon_0774	ATP-dependent DNA helicase, Rep family
741	Blon_0775	narrowly conserved hypothetical protein
742	Blon_0776	peptidase S16, lon domain protein
743	Blon_0777	narrowly conserved hypothetical protein
744	Blon_0778	hypothetical protein
745	Blon_0779	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)
746	Blon_0780	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (EC 1.17.4.3)
747	Blon_0781	hypothetical protein
748	Blon_0782	DNA replication and repair protein RecO
749	Blon_0783	Undecaprenyl pyrophosphate synthetase (EC 2.5.1.31)
750	Blon_0784	Inosine/uridine-preferring nucleoside hydrolase
751	Blon_0785	membrane lipoprotein lipid attachment site
752	Blon_0786	binding-protein-dependent transport systems inner membrane component
753	Blon_0787	Glycosyl hydrolase family 32, N terminal domain protein
754	Blon_0788	oligosaccharide/H+ symporter, major facilitator superfamily (MFS)
755	Blon_0789	transcriptional regulator, LacI family
756	Blon_0790	proteinase inhibitor I4, serpin
757	Blon_0791	hypothetical protein
758	Blon_0792	hypothetical protein
759	Blon_0793	protein of unknown function DUF77
760	Blon_0794	phosphomethylpyrimidine kinase
761	Blon_0795	Vesicle-fusing ATPase
762	Blon_0796	hydroxymethylpyrimidine synthase
763	Blon_0797	Hydroxyethylthiazole kinase
764	Blon_0798	glycyl-tRNA synthetase (EC 6.1.1.14)
765	Blon_0799	putative TIM-barrel protein, nifR3 family
766	Blon_0800	cell division protein FtsZ
767	Blon_0801	protein of unknown function DUF552
768	Blon_0802	narrowly conserved hypothetical protein
769	Blon_0803	hypothetical protein
770	Blon_0804	signal peptidase II (EC:3.4.23.36). Aspartic peptidase. MEROPS family A08
771	Blon_0805	ribosomal large subunit pseudouridine synthase D (EC 5.4.99.-)
772	Blon_0806	ribonuclease BN
773	Blon_0807	hypothetical protein
774	Blon_0808	DNA polymerase III, alpha subunit
775	Blon_0809	ATP-dependent nuclease subunit B-like protein
776	Blon_0810	DNA helicase/exodeoxyribonuclease V, subunit A (EC 3.1.11.5)
777	Blon_0811	cell division protein FtsZ
778	Blon_0812	hypothetical protein
779	Blon_0813	hypothetical protein
780	Blon_0814	protein of unknown function DUF262
781	Blon_0815	protein of unknown function DUF262
782	Blon_0816	Transposase and inactivated derivatives-like protein
783	Blon_0817	DNA polymerase III, alpha subunit (EC 2.7.7.7)
784	Blon_0818	narrowly conserved hypothetical protein
785	Blon_0819	67 kDa myosin-cross-reactive antigen family protein
786	Blon_0820	2,5-didehydrogluconate reductase
787	Blon_0821	xylulokinase (EC 2.7.1.17)
788	Blon_0822	acylphosphatase
789	Blon_0823	histidinol dehydrogenase (EC 1.1.1.23)
790	Blon_0824	histidinol phosphate aminotransferase apoenzyme (EC 2.6.1.9)
791	Blon_0825	imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)
792	Blon_0826	hypothetical protein
793	Blon_0827	imidazole glycerol phosphate synthase subunit hisH (EC 2.4.2.-)
794	Blon_0828	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16)
795	Blon_0830	L-glutamine synthetase (EC 6.3.1.2)
796	Blon_0831	major facilitator superfamily MFS_1
797	Blon_0832	binding-protein-dependent transport systems inner membrane component
798	Blon_0833	binding-protein-dependent transport systems inner membrane component
799	Blon_0834	extracellular solute-binding protein, family 5
800	Blon_0835	ABC transporter related
801	Blon_0836	hypothetical protein
802	Blon_0837	ATP-dependent helicase HrpA
803	Blon_0838	16S rRNA m(2)G 1207 methyltransferase (EC 2.1.1.52)
804	Blon_0839	small GTP-binding protein
805	Blon_0840	malate dehydrogenase (NAD) (EC 1.1.1.37)
806	Blon_0841	cation diffusion facilitator family transporter
807	Blon_0842	SOS-response transcriptional repressor, LexA
808	Blon_0843	Peptidoglycan-binding LysM
809	Blon_0844	ATP-cone domain protein
810	Blon_0845	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)
811	Blon_0846	narrowly conserved hypothetical protein with helicase motifs
812	Blon_0847	MraZ protein
813	Blon_0848	S-adenosyl-methyltransferase MraW
814	Blon_0849	hypothetical protein
815	Blon_0850	Peptidoglycan glycosyltransferase
816	Blon_0851	hypothetical protein
817	Blon_0852	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)
818	Blon_0853	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)
819	Blon_0854	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)
820	Blon_0855	cell division protein FtsW
821	Blon_0856	UDP-N-acetylglucosamine-N-acetylmuramylpentapeptide N-acetylglucosamine transferase
822	Blon_0857	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)
823	Blon_0858	cell division protein FtsQ
824	Blon_0859	transposase
825	Blon_0862	ABC transporter related
826	Blon_0863	ABC-2 type transporter
827	Blon_0864	ISXoo15 transposase
828	Blon_0865	putative transcriptional regulator
829	Blon_0866	hypothetical protein
830	Blon_0867	D-tyrosyl-tRNA(Tyr) deacylase
831	Blon_0868	glycoside hydrolase, family 38
832	Blon_0869	glycoside hydrolase, family 38
833	Blon_0870	extracellular solute-binding protein, family 5
834	Blon_0871	binding-protein-dependent transport systems inner membrane component
835	Blon_0872	binding-protein-dependent transport systems inner membrane component
836	Blon_0873	ABC transporter related
837	Blon_0874	transcriptional regulator, LacI family
838	Blon_0875	N-acylglucosamine 2-epimerase
839	Blon_0876	Uncharacterised conserved protein UCP028846
840	Blon_0877	PfkB domain protein
841	Blon_0878	ROK family protein
842	Blon_0879	ROK family protein
843	Blon_0880	ROK family protein
844	Blon_0881	glucosamine-6-phosphate isomerase
845	Blon_0882	N-acetylglucosamine 6-phosphate deacetylase (EC 3.5.1.25)
846	Blon_0883	carbohydrate ABC transporter substrate-binding protein, CUT1 family (TC 3.A.1.1.-)
847	Blon_0884	carbohydrate ABC transporter membrane protein 1, CUT1 family (TC 3.A.1.1.-)
848	Blon_0885	carbohydrate ABC transporter membrane protein 2, CUT1 family (TC 3.A.1.1.-)
849	Blon_0886	hypothetical protein
850	Blon_0887	NUDIX hydrolase
851	Blon_0888	peptidase M24
852	Blon_0889	hypothetical protein
853	Blon_0890	FolC bifunctional protein
854	Blon_0891	condensin subunit Smc
855	Blon_0892	hypothetical protein
856	Blon_0893	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)
857	Blon_0894	RNA polymerase, sigma-24 subunit, ECF subfamily
858	Blon_0895	hypothetical protein
859	Blon_0896	Aldose 1-epimerase
860	Blon_0897	Aldose 1-epimerase
861	Blon_0898	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)
862	Blon_0899	ybaK/ebsC protein
863	Blon_0900	glyceraldehyde-3-phosphate dehydrogenase, type I
864	Blon_0901	thiamine pyrophosphokinase
865	Blon_0902	bacterial translation initiation factor 3 (bIF-3)
866	Blon_0903	LSU ribosomal protein L35P
867	Blon_0904	LSU ribosomal protein L20P
868	Blon_0905	tyrosine recombinase XerD subunit
869	Blon_0906	Cobyrinic acid a,c-diamide synthase
870	Blon_0907	condensin subunit ScpA
871	Blon_0908	condensin subunit ScpB
872	Blon_0909	NUDIX hydrolase
873	Blon_0910	quinolinate synthetase (EC 2.5.1.72)
874	Blon_0911	L-aspartate oxidase (EC 1.4.3.16)
875	Blon_0912	nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19)
876	Blon_0913	aminotransferase, class V
877	Blon_0914	GTP-binding protein TypA
878	Blon_0915	major facilitator superfamily MFS_1
879	Blon_0916	hypothetical protein
880	Blon_0917	hypothetical protein
881	Blon_0918	prephenate dehydratase (EC 4.2.1.51)
882	Blon_0919	prephenate dehydrogenase (EC 1.3.1.12)
883	Blon_0920	hypothetical protein
884	Blon_0921	phage integrase family protein
885	Blon_0922	extracellular solute-binding protein, family 5
886	Blon_0923	binding-protein-dependent transport systems inner membrane component
887	Blon_0924	binding-protein-dependent transport systems inner membrane component
888	Blon_0925	ABC transporter related
889	Blon_0926	exodeoxyribonuclease III Xth
890	Blon_0927	narrowly conserved hypothetical protein
891	Blon_0928	narrowly conserved hypothetical transmembrane protein
892	Blon_0929	23S rRNA m(5)U-1939 methyltransferase (EC 2.1.1.190)
893	Blon_0930	hypothetical protein
894	Blon_0931	ATPase, P-type (transporting), HAD superfamily, subfamily IC
895	Blon_0932	aconitase (EC 4.2.1.3)
896	Blon_0933	RelB antitoxin
897	Blon_0934	PilT protein domain protein
898	Blon_0935	protein of unknown function DUF262
899	Blon_0936	GCN5-related N-acetyltransferase
900	Blon_0938	protein of unknown function UPF0005
901	Blon_0939	protein of unknown function DUF6, transmembrane
902	Blon_0940	RelA/SpoT domain protein
903	Blon_0941	tRNA-i(6)A37 thiotransferase enzyme MiaB
904	Blon_0942	tRNA delta(2)-isopentenylpyrophosphate transferase
905	Blon_0943	filamentation induced by cAMP protein Fic
906	Blon_0944	cell divisionFtsK/SpoIIIE
907	Blon_0945	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)
908	Blon_0946	competence/damage-inducible protein cinA
909	Blon_0947	helix-turn-helix domain protein
910	Blon_0948	hypothetical protein
911	Blon_0949	RecA protein
912	Blon_0950	regulatory protein RecX
913	Blon_0951	sigma 54 modulation protein/ribosomal protein S30EA
914	Blon_0952	protein translocase subunit secA
915	Blon_0953	lipolytic enzyme, G-D-S-L family
916	Blon_0954	anthranilate phosphoribosyltransferase (EC 2.4.2.18)
917	Blon_0955	conserved hypothetical transmembrane protein with unknown function
918	Blon_0956	phospholipid/glycerol acyltransferase
919	Blon_0957	protein kinase
920	Blon_0958	Polyprenyl synthetase
921	Blon_0959	hypothetical protein
922	Blon_0960	RNA polymerase, sigma 70 subunit, RpoD family
923	Blon_0961	DNA topoisomerase (ATP-hydrolyzing)
924	Blon_0962	major facilitator superfamily MFS_1
925	Blon_0963	PfkB domain protein
926	Blon_0964	ATP dependent helicase, Lhr family
927	Blon_0965	two component transcriptional regulator, winged helix family
928	Blon_0966	DNA topoisomerase IV subunit A (EC 5.99.1.3)
929	Blon_0967	type I phosphodiesterase/nucleotide pyrophosphatase
930	Blon_0968	hypothetical protein
931	Blon_0969	narrowly conserved hypothetical protein
932	Blon_0970	deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)
933	Blon_0971	(p)ppGpp synthetase I, SpoT/RelA
934	Blon_0972	Peptidylprolyl isomerase
935	Blon_0973	hypothetical protein
936	Blon_0974	HipA domain protein
937	Blon_0975	filamentation induced by cAMP protein Fic
938	Blon_0977	Integrase, catalytic region
939	Blon_0978	major facilitator superfamily MFS_1
940	Blon_0980	transposase, mutator type
941	Blon_0981	hypothetical protein
942	Blon_0982	filamentation induced by cAMP protein Fic
943	Blon_0983	phage integrase family protein
944	Blon_0984	hypothetical protein
945	Blon_0985	Abi family protein
946	Blon_0986	hypothetical protein
947	Blon_0987	hypothetical protein
948	Blon_0988	major facilitator superfamily MFS_1
949	Blon_0990	hypothetical protein
950	Blon_0991	hypothetical protein
951	Blon_0992	hypothetical protein
952	Blon_0993	hypothetical protein
953	Blon_0994	transcriptional regulator, Fis family
954	Blon_0995	ABC transporter related
955	Blon_0996	hypothetical protein
956	Blon_0997	hypothetical protein
957	Blon_0998	transposase for IS3509a
958	Blon_0999	ABC transporter related
959	Blon_1000	bacteriocin ABC transporter, permease protein subunit, putative
960	Blon_1001	ABC-2 type transport system permease protein
961	Blon_1002	hypothetical protein
962	Blon_1003	two component transcriptional regulator, winged helix family
963	Blon_1004	integral membrane sensor signal transduction histidine kinase
964	Blon_1005	hypothetical protein
965	Blon_1006	protein of unknown function DUF6, transmembrane
966	Blon_1007	pyridoxamine 5'-phosphate oxidase-related, FMN-binding
967	Blon_1008	hypothetical protein
968	Blon_1009	Phosphoglycerate mutase
969	Blon_1010	Mg2+ transporter protein, CorA family protein
970	Blon_1011	amino acid ABC transporter substrate-binding protein, PAAT family (TC 3.A.1.3.-)
971	Blon_1012	leucyl-tRNA synthetase (EC 6.1.1.4)
972	Blon_1013	competence protein ComEA helix-hairpin-helix repeat protein
973	Blon_1014	ComEC/Rec2-related protein
974	Blon_1015	DNA polymerase III, delta subunit (EC 2.7.7.7)
975	Blon_1016	protein of unknown function UPF0079
976	Blon_1017	peptidase M22, glycoprotease
977	Blon_1018	ribosomal-protein-alanine acetyltransferase
978	Blon_1019	O-sialoglycoprotein endopeptidase (EC 3.4.24.57)
979	Blon_1020	hypothetical protein
980	Blon_1021	hypothetical protein
981	Blon_1022	hypothetical protein
982	Blon_1023	hypothetical protein
983	Blon_1024	Integrase, catalytic region
984	Blon_1025	transposase IS116/IS110/IS902 family protein
985	Blon_1026	hypothetical protein
986	Blon_1027	hypothetical protein
987	Blon_1028	hypothetical protein
988	Blon_1029	Methylase of polypeptide chain release factors-like protein
989	Blon_1030	ABC transporter related
990	Blon_1033	serine/threonine-protein kinase HipA
991	Blon_1034	hypothetical protein
992	Blon_1035	hypothetical protein
993	Blon_1036	narrowly conserved hypothetical protein
994	Blon_1037	hypothetical protein
995	Blon_1038	hypothetical protein
996	Blon_1039	Integrase, catalytic region
997	Blon_1042	ABC transporter related
998	Blon_1043	hypothetical protein
999	Blon_1044	hypothetical protein
1000	Blon_1045	hypothetical protein
1001	Blon_1046	hypothetical protein
1002	Blon_1047	integral membrane sensor signal transduction histidine kinase
1003	Blon_1048	two component transcriptional regulator, LuxR family
1004	Blon_1049	peptidase M23B
1005	Blon_1050	hypothetical protein
1006	Blon_1051	isocitrate dehydrogenase (NADP) (EC 1.1.1.42)
1007	Blon_1052	IMP dehydrogenase family protein
1008	Blon_1053	hypothetical protein
1009	Blon_1054	AMP-dependent synthetase and ligase
1010	Blon_1055	peptide deformylase
1011	Blon_1056	SSU ribosomal protein S2P
1012	Blon_1057	translation elongation factor Ts (EF-Ts)
1013	Blon_1058	uridylate kinase (EC 2.7.4.22)
1014	Blon_1059	ribosome recycling factor
1015	Blon_1060	phosphatidate cytidylyltransferase
1016	Blon_1061	23S rRNA m(2)A-2503 methyltransferase (EC 2.1.1.192)
1017	Blon_1062	ThiJ/PfpI domain protein
1018	Blon_1063	imidazole glycerol phosphate synthase subunit hisF (EC 4.1.3.-)
1019	Blon_1064	phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)
1020	Blon_1065	anthranilate synthase, component I (EC 4.1.3.27)
1021	Blon_1066	pyroglutamyl-peptidase I (EC:3.4.19.3). Cysteine peptidase. MEROPS family C15
1022	Blon_1067	protein of unknown function DUF979
1023	Blon_1068	protein of unknown function DUF969
1024	Blon_1069	ABC transporter related
1025	Blon_1070	short-chain dehydrogenase/reductase SDR
1026	Blon_1071	hypothetical protein
1027	Blon_1072	narrowly conserved protein with unknown function
1028	Blon_1073	hypothetical protein
1029	Blon_1076	energy-coupling factor transport system substrate-specific component
1030	Blon_1077	hypothetical protein
1031	Blon_1078	ABC transporter related
1032	Blon_1079	hypothetical protein
1033	Blon_1080	hypothetical protein
1034	Blon_1081	conserved hypothetical myosin-like protein with unknown function
1035	Blon_1082	Excinuclease ABC subunit A
1036	Blon_1083	Excinuclease ABC subunit C
1037	Blon_1084	Shikimate dehydrogenase substrate binding, N-terminal domain protein
1038	Blon_1085	Uncharacterised P-loop ATPase protein UPF0042
1039	Blon_1086	protein of unknown function DUF199
1040	Blon_1087	phosphoglycerate kinase (EC 2.7.2.3)
1041	Blon_1088	triosephosphate isomerase (EC 5.3.1.1)
1042	Blon_1089	protein translocase subunit secG
1043	Blon_1090	malate dehydrogenase (NAD) (EC 1.1.1.37)
1044	Blon_1091	Haloacid dehalogenase domain protein hydrolase, type 3
1045	Blon_1092	aminotransferase, class I and II
1046	Blon_1093	MATE efflux family protein
1047	Blon_1094	branched-chain amino acid transport system II carrier protein
1048	Blon_1095	transaldolase (EC 2.2.1.2)
1049	Blon_1096	transketolase (EC 2.2.1.1)
1050	Blon_1097	heat-inducible transcription repressor HrcA
1051	Blon_1098	chaperone DnaJ domain protein
1052	Blon_1099	holin, Dp-1 family
1053	Blon_1100	glycoside hydrolase, family 25
1054	Blon_1101	hypothetical protein
1055	Blon_1102	hypothetical protein
1056	Blon_1103	hypothetical protein
1057	Blon_1104	hypothetical protein
1058	Blon_1105	hypothetical protein
1059	Blon_1106	hypothetical protein
1060	Blon_1107	phage tail tape measure protein, TP901 family
1061	Blon_1108	hypothetical protein
1062	Blon_1109	hypothetical protein
1063	Blon_1110	hypothetical protein
1064	Blon_1111	hypothetical protein
1065	Blon_1112	hypothetical protein
1066	Blon_1113	hypothetical protein
1067	Blon_1114	hypothetical protein
1068	Blon_1115	hypothetical protein
1069	Blon_1116	phage major capsid protein, HK97
1070	Blon_1117	hypothetical protein
1071	Blon_1118	hypothetical protein
1072	Blon_1119	protein of unknown function DUF1483
1073	Blon_1120	hypothetical protein
1074	Blon_1121	hypothetical protein
1075	Blon_1122	hypothetical protein
1076	Blon_1123	hypothetical protein
1077	Blon_1124	hypothetical protein
1078	Blon_1125	hypothetical protein
1079	Blon_1126	hypothetical protein
1080	Blon_1127	hypothetical protein
1081	Blon_1128	pancreatic ribonuclease
1082	Blon_1129	hypothetical protein
1083	Blon_1130	hypothetical protein
1084	Blon_1131	hypothetical protein
1085	Blon_1132	hypothetical protein
1086	Blon_1133	hypothetical protein
1087	Blon_1134	hypothetical protein
1088	Blon_1135	endodeoxyribonuclease RusA
1089	Blon_1136	hypothetical protein
1090	Blon_1137	hypothetical protein
1091	Blon_1138	hypothetical protein
1092	Blon_1139	hypothetical protein
1093	Blon_1140	hypothetical protein
1094	Blon_1141	hypothetical protein
1095	Blon_1142	hypothetical protein
1096	Blon_1143	hypothetical protein
1097	Blon_1144	hypothetical protein
1098	Blon_1145	DNA-cytosine methyltransferase
1099	Blon_1146	hypothetical protein
1100	Blon_1147	hypothetical protein
1101	Blon_1148	hypothetical protein
1102	Blon_1149	phage integrase family protein
1103	Blon_1150	fructosamine kinase
1104	Blon_1151	Undecaprenyl-diphosphatase (EC 3.6.1.27)
1105	Blon_1152	protein of unknown function DUF75
1106	Blon_1153	threonyl-tRNA synthetase (EC 6.1.1.3)/Ser-tRNA(Thr) hydrolase (EC 3.1.1.-)
1107	Blon_1154	histidine triad (HIT) protein
1108	Blon_1155	protein of unknown function DUF28
1109	Blon_1156	Holliday junction endonuclease RuvC (EC 3.1.22.4)
1110	Blon_1157	Holliday junction DNA helicase subunit RuvA
1111	Blon_1158	Holliday junction DNA helicase subunit RuvB
1112	Blon_1159	protein translocase subunit yajC
1113	Blon_1160	adenine phosphoribosyltransferase (EC 2.4.2.7)
1114	Blon_1161	succinyl-CoA synthetase (ADP-forming) beta subunit (EC 6.2.1.5)
1115	Blon_1162	succinyl-CoA synthetase (ADP-forming) alpha subunit (EC 6.2.1.5)
1116	Blon_1163	hypothetical protein
